name,local_name
PSB Rc70,BAMBAN
PSB Rc44,GOHANG
PSB Rc46,SUMADEL
PSB Rc92,SAGADA
PSB Rc94,HUNGDUAN
PSB Rc96,IBULAO
NSIC Rc104,BALILI
PSB Rc48,HAGONOY
PSB Rc50,BICOL
PSB Rc84,SIPOCOT
PSB Rc86,MATNOG
PSB Rc88,NAGA
PSB Rc90,BUGUEY
NSIC Rc106,SUMILAO
NSIC Rc108,ANAHAWAN
NSIC Rc182,SALINAS 1
NSIC Rc184,SALINAS 2
NSIC Rc186,SALINAS 3
NSIC Rc188,SALINAS 4
NSIC Rc190,SALINAS 5
NSIC 2011 Rc290,
NSIC 2011 Rc292,
NSIC 2011 Rc294,
NSIC 2011 Rc296,
PSB Rc1,MAKILING
PSB Rc3,GINILINGAN PUTI
PSB Rc5,ARAYAT
PSB Rc7,BANAHAW
NSIC Rc9,APO
NSIC Rc11,CANLAON
